ConcentrationBROMP,ConfusionBROMP,BoredomBROMP,FrustrationBROMP,DelightBROMP
0.004788454,0.998558753,0.999998902,0.532058031,0.843971839
0.461566405,0.55293458,0.366109842,0.36928819,0.330977523
0.470791359,0.55293458,0.340503273,0.371365155,0.330977523
0.490060674,0.55293458,0.288406321,0.372277745,0.337866073
0.571730705,0.457371262,0.45917579,0.432802629,0.337866073
0.014445232,0.609781129,0.999996145,0.476744631,0.720583946
0.343385102,0.609781129,0.760029899,0.47729203,0.72406999
0.340277663,0.619498748,0.768180256,0.530379917,0.72406999
0.478621581,0.458530481,0.75866691,0.582506723,0.72406999
0.478857662,0.405680945,0.758240806,0.582781259,0.72406999
0.475955045,0.41166771,0.765090114,0.633154188,0.72406999
0.451647213,0.41166771,0.816649695,0.63456462,0.73358339
0.466754743,0.401767881,0.78626663,0.579025186,0.737081775
0.340381047,0.563548685,0.769261908,0.533569153,0.737751464
0.32376544,0.574864009,0.809021401,0.534562501,0.737751464
0.465645409,0.407556305,0.789214463,0.534944705,0.737751464
0.460085309,0.416937131,0.800975587,0.587211385,0.737751464
0.457285142,0.416937131,0.806845289,0.587847017,0.741751266
0.431426017,0.416937131,0.853902911,0.583488089,0.752737796
0.320590602,0.401366319,0.954465444,0.532741905,0.752737796
0.302062529,0.683711893,0.824641934,0.493504353,0.765545597
0.312916697,0.729479143,0.851580379,0.442478872,0.777885734
0.353250841,0.55293458,0.94812518,0.442746487,0.00742678
0.519460183,0.386214681,0.911055282,0.442904944,0.00742678
0.515434836,0.386214681,0.895346422,0.4446387,0.00742678
0.570894971,0.386214681,0.606581257,0.444850422,0.777885734
0.587080111,0.386214681,0.504374428,0.445640718,0.777885734
0.625637256,0.386214681,0.3355957,0.445785646,0.777885734
0.652320484,0.386214681,0.224787817,0.445926826,0.777885734
0.664237873,0.386214681,0.257884314,0.446817898,0.777885734
0.686396907,0.386214681,0.383782568,0.447776479,0.777885734
0.706284748,0.386214681,0.272446376,0.448877481,0.777885734
0.682996043,0.386214681,0.552602504,0.452554326,0.777885734
0.598896763,0.55293458,0.861850271,0.453396342,0.777885734
0.609282897,0.55293458,0.844864255,0.453597523,0.778994711
0.732406079,0.386214681,0.843770153,0.447469629,0.779748597
0.732974194,0.388222393,0.842210659,0.441303767,0.779748597
0.728729206,0.462985705,0.849756528,0.441633294,0.78156125
0.614647745,0.627253323,0.959860587,0.441921084,0.81525088
0.470467287,0.715761951,0.955330556,0.466688975,0.81525088
0.420455976,0.715761951,0.969392999,0.474282913,0.848894082
0.478863319,0.55293458,0.316322105,0.368502774,0.002090738
0.515702826,0.55293458,0.224957502,0.368652872,0.002090738
0.650773524,0.386214681,0.225005249,0.368781759,0.002099909
0.640818708,0.386214681,0.25021767,0.363509547,0.002143349
0.651248039,0.386214681,0.224120065,0.357677174,0.002143541
0.625147591,0.407340962,0.293039077,0.402596248,0.002143541
0.59557036,0.407340962,0.382125941,0.405190654,0.002334096
0.4978215,0.574642451,0.269263279,0.423931405,0.002358293
0.637937213,0.407340962,0.259734711,0.41785239,0.002365142
0.617331487,0.407340962,0.317450446,0.41282388,0.00245269
0.63313974,0.386214681,0.273151879,0.363162209,0.00246584
0.627854063,0.39263837,0.287842699,0.407240806,0.00246584
0.624842662,0.400596811,0.296517149,0.459248246,0.00246584
0.596730993,0.400596811,0.381051597,0.461118618,0.002616981
0.623935012,0.400596811,0.300119158,0.473946056,0.002635957
0.624324984,0.400596811,0.299101922,0.467816459,0.002650691
0.62375185,0.394127411,0.30081503,0.41010456,0.002665922
0.608996626,0.400205249,0.344402669,0.404853869,0.002665922
0.616688272,0.400205249,0.321818,0.411345673,0.002699148
0.597237341,0.400205249,0.381263889,0.412631997,0.002814769
0.546450532,0.400205249,0.420688707,0.410051906,0.002814769
0.476965321,0.740894598,0.304556592,0.435818868,0.003018427
0.490109776,0.55293458,0.271993601,0.385329904,0.003047195
0.600999825,0.386214681,0.355034544,0.380860467,0.003047195
0.623691186,0.386214681,0.290096664,0.381061855,0.003067814
0.623272648,0.386214681,0.292179915,0.375303597,0.003087764
0.058525059,0.891440176,0.99994826,0.465159234,0.003087764
0.36670268,0.943455326,0.738208221,0.530744518,0.003087764
0.370422001,0.943455326,0.728549276,0.530994213,0.003112307
0.504049357,0.898114357,0.734119665,0.525059321,0.003112307
0.505566671,0.922307928,0.728684045,0.525305882,0.003136701
0.50796488,0.478771958,0.721979321,0.466636655,0.003146226
0.447433113,0.470494892,0.834665607,0.411718246,0.003146226
0.495636784,0.409756606,0.730557131,0.424280306,0.003146226
0.495464812,0.467549646,0.729433551,0.430697893,0.003146226
0.499395304,0.394819958,0.719461183,0.430703402,0.003146226
0.492186179,0.459068488,0.735134845,0.431051712,0.003146226
0.497025231,0.459068488,0.722548156,0.431120558,0.003153208
0.488602236,0.452646886,0.740314188,0.425383956,0.003200328
0.496892948,0.452661318,0.719619621,0.471043004,0.003200328
0.496905508,0.452520711,0.719586346,0.471043174,0.003200328
0.485234936,0.452520711,0.744717738,0.471608645,0.003200328
0.328500154,0.552948979,0.799407296,0.485893132,0.003200328
0.354078659,0.552948979,0.735460513,0.485935762,0.003204643
0.484463108,0.386214681,0.748180904,0.427888751,0.003233813
0.474164768,0.386214681,0.772538699,0.422434743,0.003311099
0.477820224,0.397410318,0.761363728,0.41672453,0.003311099
0.438847405,0.522381792,0.828789091,0.418969649,0.003561345
0.472182826,0.454348629,0.757541308,0.431683448,0.003561345
0.478211119,0.454549027,0.743159031,0.431691298,0.003561345
0.477290662,0.522583459,0.745039534,0.431742018,0.003561345
0.47593929,0.510850974,0.747558649,0.431850201,0.003573761
0.477150569,0.452706539,0.744409676,0.425686849,0.003577803
0.475608476,0.455358201,0.74741886,0.419614757,0.003577803
0.469396495,0.533110142,0.759520505,0.426175482,0.003622553
0.474906191,0.533110142,0.746045731,0.420066579,0.003622553
0.470513247,0.533110142,0.754702107,0.420333844,0.003654053
0.47533381,0.533124641,0.743187806,0.46588589,0.003654053
0.475346341,0.530461188,0.743156317,0.465886059,0.003654053
0.209428603,0.520541278,0.988219477,0.480777771,0.003654053
0.261924123,0.552948979,0.838127387,0.508568353,0.003654053
0.296835076,0.552948979,0.749073996,0.508603744,0.003658139
0.387397346,0.43305226,0.820190632,0.451836281,0.003658139
0.419212257,0.500823442,0.750833535,0.458179187,0.003636092
0.394299513,0.500823442,0.824617558,0.460209628,0.00324552
0.328451606,0.43305226,0.933535762,0.461615939,0.001759154
0.487187994,0.55293458,0.293757992,0.368125952,0.330977523
0.510824749,0.55293458,0.235869401,0.368549565,0.330977523
0.651996854,0.386214681,0.221980449,0.368632009,0.331599159
0.600034476,0.440124843,0.367199319,0.428134128,0.331599159
0.615345906,0.429185591,0.322175629,0.41688983,0.342971357
0.504568792,0.596429994,0.252452612,0.423121548,0.343461254
0.630159632,0.438723406,0.2805331,0.469320766,0.343461254
0.624763906,0.438723406,0.295905454,0.470118455,0.349203998
0.636815805,0.395459135,0.262978814,0.412224823,0.3496347
0.61621774,0.412775609,0.320991279,0.458689545,0.3496347
0.629892188,0.412775609,0.282330289,0.465234647,0.3514841
0.620632392,0.403396469,0.308702914,0.408098791,0.35655934
0.05296498,0.403396469,0.99963875,0.448827161,0.35655934
0.36460235,0.743435229,0.314537649,0.469718246,0.372789311
0.387347686,0.55293458,0.324808713,0.419877626,0.372789311
0.420571338,0.55293458,0.237436677,0.419927376,0.373167663
0.498507911,0.460587466,0.401444703,0.416709873,0.373167663
0.540209466,0.542906937,0.282659764,0.423427826,0.373167663
0.397418424,0.639947207,0.299142389,0.424115748,0.373167663
0.381822482,0.639947207,0.354689107,0.425486148,0.373167663
0.546406572,0.474858327,0.358114616,0.426768699,0.373167663
0.585620336,0.592309567,0.218495684,0.42730141,0.38969576
0.575711364,0.386214681,0.563188436,0.428243591,0.001362341
0.587982021,0.386214681,0.658521556,0.428453918,0.001371629
0.589711445,0.386214681,0.654077138,0.422363578,0.001375883
0.549979192,0.417887948,0.770227119,0.469989651,0.001375883
0.581407268,0.417887948,0.363526512,0.470200624,0.393654097
0.570531881,0.435755965,0.394768823,0.470921019,0.393654097
0.522187013,0.578514201,0.538127425,0.473904432,0.416499246
0.434570788,0.672554411,0.37927987,0.486639444,0.413545678
0.572542023,0.478057181,0.389556182,0.434768879,0.407877574
0.576650582,0.478057181,0.378340317,0.428610634,0.406799825
0.573239692,0.465222407,0.388039988,0.422632232,0.406835893
0.573089527,0.457847327,0.384627965,0.386113524,0.406867894
0.57469874,0.457847327,0.378023571,0.386192545,0.407519285
0.567869632,0.457847327,0.390568197,0.380596715,0.410721475
0.558469779,0.457847327,0.402672582,0.375411692,0.410855061
0.571578911,0.45250628,0.36177842,0.375460009,0.411258559
0.571174598,0.45250628,0.361699482,0.369604376,0.411761304
0.569374502,0.45250628,0.364184723,0.363860775,0.412890084
0.56154206,0.465291195,0.385923263,0.358491959,0.412971795
0.568366916,0.533361263,0.364936839,0.358584496,0.412987791
0.562855314,0.533361263,0.380173114,0.358913916,0.415796975
0.569056233,0.533380291,0.361528573,0.402459716,0.415797162
0.56907347,0.533380291,0.361476578,0.40245988,0.415797189
0.483400835,0.520545821,0.610333109,0.406481226,0.416420091
0.418076768,0.552975076,0.380799216,0.508522456,0.416420284
0.418096801,0.552975076,0.380737024,0.508522626,0.416420308
0.355802034,0.552956178,0.570801842,0.459291807,0.416853291
0.226882008,0.552956178,0.887038139,0.469639771,0.418058182
0.320306007,0.552956178,0.619098678,0.472813677,0.418374625
0.371210776,0.552950779,0.443351445,0.472844347,0.418374723
0.494801308,0.386230216,0.481399194,0.473490436,0.418436544
0.369442474,0.552967877,0.445376651,0.525982525,0.418436646
0.458713161,0.386246613,0.580915165,0.528286875,0.418650522
0.491066235,0.392503811,0.476380236,0.58052095,0.418687431
0.444928583,0.392488186,0.605017749,0.531278715,0.418914572
0.313232968,0.559447831,0.580324334,0.533554169,0.419104719
0.276510464,0.559430782,0.663512374,0.485205847,0.419426185
0.24916845,0.559430782,0.70486131,0.490442106,0.419802459
0.253826649,0.618222717,0.664556717,0.494588003,0.420079786
0.30335974,0.618222717,0.47151173,0.495198451,0.42483811
0.265975815,0.618222717,0.597358877,0.497952565,0.425008222
0.432384786,0.455217849,0.452678275,0.498092752,0.425016674
0.432983184,0.52554537,0.450163851,0.498183581,0.425725593
0.432691752,0.458295597,0.451636875,0.439733902,0.425731147
0.430039098,0.458295597,0.46136742,0.439941449,0.427375937
0.384539885,0.458295597,0.610377511,0.436143451,0.427520935
0.454173146,0.580633113,0.340708119,0.436144065,0.44474837
0.443678123,0.386214681,0.702010123,0.436651038,0.001708571
0.426716852,0.386214681,0.745461927,0.44414975,0.001709074
0.441483638,0.386214681,0.469942295,0.452180098,0.444950699
0.472929183,0.386214681,0.343787652,0.452180323,0.444950711
0.440456306,0.386214681,0.451481276,0.419967851,0.445036752
0.447610383,0.386214681,0.56636161,0.417648346,0.445090518
0.423352688,0.386214681,0.637037531,0.444138791,0.285348782
0.459421392,0.386222448,0.502184107,0.496431528,0.285348804
0.401561777,0.386222448,0.694666308,0.495316354,0.285467032
0.236983816,0.552942679,0.80665163,0.493545299,0.445577455
0.228049332,0.552942679,0.838314516,0.492013633,0.4845703
0.294592386,0.552942679,0.609691757,0.492005732,0.484785619
0.293218616,0.555520737,0.613961035,0.439759302,0.484790052
0.412306946,0.467766574,0.601790411,0.439615503,0.488804316
0.420256356,0.467766574,0.513960548,0.433380461,0.488805858
0.418331602,0.467766574,0.458429189,0.433344661,0.489817886
0.409452514,0.467766574,0.48838247,0.426987039,0.494224418
0.414870616,0.465161408,0.471239072,0.420750782,0.495849759
0.412005368,0.45250628,0.481380454,0.41450898,0.49838817
0.373141439,0.45250628,0.604806811,0.407792057,0.498480907
0.411128432,0.386223311,0.346367577,0.478246294,0.49848093
0.41113476,0.386223311,0.346349241,0.47824625,0.498480937
0.316153826,0.386223311,0.672523549,0.477019073,0.498677138
0.258665651,0.552943579,0.60219849,0.489449052,0.498711934
0.270781812,0.552943579,0.554376053,0.489440728,0.49900813
0.391772081,0.38954526,0.560247947,0.431014462,0.499013326
0.390395876,0.46073592,0.56338569,0.430973166,0.50052093
0.391731537,0.463113984,0.55832985,0.424757496,0.501274498
0.392644133,0.463113984,0.543873116,0.41857843,0.501275798
0.390922751,0.463113984,0.549353092,0.418553172,0.50221221
0.386970464,0.459627995,0.563060888,0.41234275,0.504623106
0.39205789,0.454887627,0.546336491,0.457728901,0.504623129
0.392058394,0.452516201,0.546336044,0.45772879,0.504623148
0.339548349,0.452516201,0.716913967,0.457154707,0.504723286
0.37961588,0.386224174,0.593960555,0.475998114,0.506716948
0.381992351,0.386224174,0.586453467,0.482295336,0.507456671
0.382148319,0.386214681,0.586107929,0.424029889,0.508028475
0.382746285,0.386214681,0.58423239,0.41785519,0.508275333
0.367384542,0.386214681,0.635349476,0.411554963,0.514814374
0.379776355,0.387743241,0.595251777,0.411542928,0.514816615
0.377552685,0.454103097,0.601231438,0.375150273,0.514822566
0.37513441,0.454103097,0.607105841,0.375101294,0.516974383
0.378814447,0.454103097,0.594910718,0.369180579,0.517311617
0.374275021,0.454103097,0.607649069,0.36325855,0.519466267
0.372500635,0.45250628,0.61105863,0.35736872,0.522048139
0.377887515,0.452512593,0.593635499,0.400831238,0.522048153
0.377890828,0.452512593,0.593623515,0.400831207,0.522048159
0.357754903,0.452512593,0.650614439,0.400643505,0.522084337
0.306753278,0.511694094,0.775458458,0.45756267,0.522207918
0.214833462,0.610608091,0.708575971,0.501397177,0.522279486
0.239462389,0.610602032,0.607764385,0.449034202,0.523893591
0.355484094,0.443753315,0.605827047,0.442757118,0.525182257
0.356812167,0.443753315,0.600939699,0.436512196,0.525731737
0.351879015,0.386214681,0.614895027,0.379689035,0.528279368
0.340144478,0.386214681,0.646732806,0.373622041,0.535452134
0.273964418,0.386214681,0.799925413,0.373046567,0.535590344
0.220290456,0.55293458,0.625057442,0.396934371,0.540670748
0.227377753,0.55293458,0.593923408,0.396927719,0.541121482
0.340458827,0.386214681,0.59198874,0.390883351,0.541285002
0.332967788,0.39644288,0.614317851,0.38482613,0.541297375
0.338172923,0.465221309,0.596071907,0.38481687,0.541943287
0.337997431,0.465221309,0.59705866,0.378834486,0.541945601
0.319618899,0.465221309,0.663450479,0.37871582,0.550456301
0.331254492,0.465221309,0.626367185,0.368160663,0.550464404
0.303195237,0.55293458,0.834348802,0.376993623,0.330977523
0.458616311,0.55293458,0.380342525,0.378560377,0.330977523
0.483724829,0.55293458,0.308607219,0.378756594,0.332441952
0.580135875,0.429927124,0.435454466,0.438263662,0.332441952
0.599457291,0.436333971,0.375152861,0.484606123,0.332441952
0.46567564,0.436333971,0.771844036,0.49200421,0.386363598
0.454371953,0.603419263,0.399342719,0.492124569,0.387268348
0.440535538,0.615382321,0.442946999,0.545280575,0.387268348
0.580187249,0.423175275,0.441022695,0.545906401,0.387268348
0.538498826,0.408041616,0.575616653,0.496130385,0.40701779
0.518662843,0.408041616,0.637455871,0.493009524,0.431744524
0.396277787,0.575351509,0.553217221,0.501315934,0.431744524
0.408773891,0.625573587,0.514121664,0.450044759,0.44900863
0.419324611,0.675280388,0.480371483,0.399162205,0.466396478
0.427315201,0.729479143,0.54483343,0.400407199,0.483866357
0.393457878,0.55293458,0.892685842,0.404483411,0.001998909
0.41444429,0.55293458,0.62293738,0.406976035,0.483866357
0.455105145,0.55293458,0.49508009,0.407180015,0.485538335
0.595030576,0.386214681,0.491230555,0.401198787,0.486469201
0.544342854,0.426666996,0.656407542,0.44884383,0.486469201
0.568233578,0.443578092,0.586959064,0.508568742,0.486469201
0.42762389,0.610433226,0.59431302,0.515893346,0.494404691
0.577979625,0.451011334,0.556261591,0.509868068,0.494404691
0.459743512,0.66506888,0.824720649,0.515899431,0.542111984
0.425224059,0.715298943,0.554186364,0.469851501,0.542111984
0.415442947,0.701081032,0.581025398,0.418603334,0.546570559
0.247116449,0.701081032,0.921001357,0.428242223,0.622359175
0.396916367,0.694742017,0.562830667,0.428278119,0.622632059
0.375173957,0.581351135,0.623750651,0.429400814,0.622632059
0.528440608,0.486449328,0.573230406,0.429600106,0.624144604
0.527145368,0.486449328,0.577597705,0.423642348,0.624144604
0.530023709,0.486449328,0.568746947,0.42370513,0.624622258
0.520047192,0.495127947,0.600270807,0.469863575,0.624622258
0.620515119,0.55293458,0.257326114,0.367479706,0.330977523
0.632366825,0.55293458,0.228057308,0.367843481,0.330977523
0.754722483,0.386214681,0.216067281,0.367907968,0.331464109
0.73617592,0.410180603,0.273622271,0.425961489,0.331464109
0.701314871,0.405349199,0.395922389,0.416251178,0.354076397
0.618612368,0.572623033,0.264653595,0.422823819,0.357129905
0.596041851,0.572623033,0.327672162,0.424299825,0.368197503
0.740878076,0.405349199,0.260903843,0.418189656,0.368648821
0.728663832,0.398667336,0.301334342,0.41277425,0.368648821
0.7343391,0.398667336,0.282600577,0.41311253,0.37122516
0.731826247,0.398667336,0.291135029,0.407430667,0.374603176
0.582521608,0.398667336,0.512469506,0.415702265,0.374603176
0.580762305,0.628218379,0.160220827,0.43487524,0.391155178
0.581681002,0.675280388,0.162821042,0.384608437,0.407961455
0.594553359,0.729479143,0.200018431,0.385688132,0.424985791
0.613361838,0.55293458,0.502690087,0.387060342,0.001576556
0.751773606,0.386214681,0.30783696,0.387237757,0.001585906
0.770533155,0.386214681,0.312977782,0.381560582,0.001585906
0.781336233,0.386214681,0.069604543,0.382457899,0.426433857
0.789618289,0.386214681,0.060862755,0.382665721,0.428139311
0.775367988,0.386214681,0.082498295,0.377838886,0.437522047
0.786595338,0.386214681,0.068819626,0.37806441,0.439392858
0.782477853,0.398307115,0.074224187,0.372601718,0.439392858
0.784157165,0.465101508,0.19328167,0.372893011,0.439392858
0.782108923,0.465101508,0.2022866,0.379219854,0.442628653
0.795249652,0.465101508,0.215259067,0.374048638,0.442628653
0.801370757,0.465101508,0.123583032,0.386203972,0.444533783
0.797424662,0.45250628,0.134802639,0.380701599,0.444533783
0.800197399,0.45250628,0.129633504,0.380916173,0.444533783
0.800182224,0.45250628,0.130589449,0.381101783,0.446073633
0.792888578,0.386214681,0.151287535,0.375822274,0.451684315
0.793759944,0.386214681,0.151855185,0.376339321,0.451684315
0.799497052,0.386214681,0.218448228,0.376380175,0.452025805
